delta,chi2,success
2.0000e+00,212.3,True
1.9000e+00,209.1,False
1.8000e+00,203.7,False
1.7000e+00,214.2,False
1.6000e+00,204.1,True
1.5000e+00,188,False
1.4000e+00,200.3,False
1.3000e+00,227.5,True
1.2000e+00,556,False
1.1000e+00,203,True
1.0000e+00,1242,False
