delta,chi2,success
2.0000e+00,207.2,True
1.9000e+00,198.8,False
1.8000e+00,220.8,True
1.7000e+00,214.9,False
1.6000e+00,208.7,False
1.5000e+00,210.7,False
1.4000e+00,203.2,False
1.3000e+00,223.6,False
1.2000e+00,229.8,False
1.1000e+00,229.2,True 
1.0000e+00,227.2,True
