energy,flux,flux_error
8.20E+08,6.33E-16,0
1.31E+09,1.02E-15,0
4.48E+09,3.41E-15,0
8.83E+09,2.34E-15,0
2.03E+10,5.47E-15,0
6.90E+13,5.90E-12,0
1.15E+15,2.15E-12,0
1.33E+15,1.65E-12,0
1.93E+15,9.71E-13,0
2.48E+17,2.69E-13,0
4.48E+17,2.24E-13,1.04E-13
6.86E+17,5.72E-13,2.75E-13
1.39E+18,7.35E-13,3.51E-13
4.75E+22,4.50E-12,1.94E-12
1.43E+23,1.41E-12,7.37E-13
4.89E+23,5.73E-13,4.70E-13
1.46E+24,3.59E-13,2.77E-13
