log_10_B,chi2,success
-6.6826e-01,194.7,True
-5.6826e-01,196.3,False
-4.6826e-01,201.3,False
-3.6826e-01,322.1,False
-2.6826e-01,396.3,True
-7.6826e-01,201.5,False
-8.6826e-01,1551,False
-7.1826e-01,314.4,False
-7.0826e-01,306,False
-6.7826e-01,195.5,True
-7.3826e-01,212.7,True
-7.8826e-01,194.9,False
