delta,chi2,success
1.3000e+00,254.3,True
1.2000e+00,260.5,True
1.1000e+00,268.7,True
1.0000e+00,278.6,True
1.4000e+00,250.3,True
1.5000e+00,248,True
1.6000e+00,247.2,True
1.7000e+00,247.8,True
1.8000e+00,249.9,True
1.5500e+00,247.4,True
1.5750e+00,247.2,True
1.5875e+00,247.2,True
1.6100e+00,247.2,True
1.6400e+00,247.3,True
